0,200
0,180
0,168
0,132
0,128
0,124
0,72
0,64
0,52
0,8
0,4
4,200
4,196
4,180
4,164
4,140
4,108
4,48
4,32
4,4
8,180
8,168
8,112
8,72
8,60
8,44
8,36
12,192
12,188
12,180
12,136
12,132
12,96
12,80
12,68
12,48
12,44
12,4
16,184
16,176
16,172
16,148
16,144
16,116
16,108
16,72
16,48
16,28
16,8
20,184
20,172
20,152
20,148
20,128
20,80
20,40
20,36
20,28
24,184
24,164
24,132
24,44
28,192
28,176
28,156
28,128
28,104
28,64
28,20
28,12
32,196
32,168
32,124
32,116
32,68
32,52
32,44
32,28
36,168
36,116
36,92
36,72
36,68
36,64
36,60
40,176
40,140
40,4
40,0
44,188
44,172
44,164
44,136
44,60
44,48
44,12
48,196
48,192
48,176
48,156
48,140
48,124
48,108
48,104
48,32
48,8
52,172
52,144
52,4
52,0
56,156
56,80
56,48
56,28
56,12
56,0
60,168
60,160
60,140
60,136
60,120
60,44
60,20
60,12
64,200
64,192
64,128
64,116
64,112
64,76
64,60
64,56
64,28
64,24
64,20
68,136
68,104
68,100
68,16
72,180
72,168
72,152
72,132
72,128
72,124
72,120
72,112
72,104
72,48
72,40
72,32
72,20
72,16
72,12
76,188
76,184
76,156
76,112
76,92
76,60
76,32
76,4
80,172
80,140
80,132
80,108
80,104
80,92
80,32
80,12
80,4
84,192
84,180
84,136
84,108
84,80
84,48
84,36
88,160
88,68
88,64
88,44
88,36
88,32
88,8
92,164
92,156
92,152
92,96
92,80
92,52
92,24
92,20
96,200
96,192
96,144
96,140
96,120
96,108
100,200
100,180
100,128
100,92
100,76
100,28
100,16
100,8
104,184
104,180
104,172
104,132
104,120
104,112
104,76
104,52
104,0
108,104
108,68
108,36
108,32
112,188
112,164
112,96
112,76
112,44
112,36
112,8
112,4
116,192
116,188
116,156
116,144
116,124
116,84
116,60
116,8
120,184
120,176
120,172
120,168
120,160
120,148
120,124
120,108
120,84
124,184
124,132
124,128
124,120
124,68
124,36
124,4
124,0
128,188
128,184
128,172
128,160
128,48
128,36
132,184
132,152
132,148
132,132
132,88
132,48
132,0
136,192
136,188
136,152
136,44
140,192
140,184
140,164
140,76
140,72
140,68
140,60
140,44
140,28
144,180
144,104
144,96
144,80
144,20
144,12
148,100
148,92
148,40
148,0
152,192
152,168
152,164
152,96
152,92
152,80
152,76
152,72
152,36
152,32
152,28
152,16
152,12
152,8
152,0
156,184
156,156
156,152
156,140
156,136
156,108
156,84
156,80
156,60
156,40
156,4
160,176
160,168
160,92
160,52
160,48
164,168
164,140
164,112
164,100
164,68
164,64
164,48
164,36
164,20
168,152
168,144
168,116
168,104
168,100
172,192
172,176
172,168
172,152
172,92
172,72
172,16
172,8
176,196
176,192
176,180
176,168
176,156
176,144
176,120
176,104
176,96
176,40
176,36
180,188
180,172
180,152
180,140
180,108
180,88
180,68
180,64
180,20
180,16
184,192
184,188
184,172
184,148
184,92
184,88
184,84
184,80
184,60
184,28
184,16
184,8
184,4
188,192
188,180
188,152
188,76
188,56
188,44
188,40
192,112
192,108
192,88
192,48
196,152
196,116
196,88
196,60
196,32
200,156
200,144
200,116
200,104
200,100
200,92
200,88
200,4
